location,name,description,start,duration,eventId
poster1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,"Andrea Pigorini, Abstract 1702",1624370400,60,poster1702AmericasEurope
poster1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,"Andrea Pigorini, Abstract 1702",1624312800,60,poster1702AmericasAsia
poster1702,Loss of differentiation and complexity in the sleeping human brain: a multi-scale analysis,"Andrea Pigorini, Abstract 1702",1624514400,120,poster1702EuropeAsia
poster1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,"George Thomas, Abstract 1619",1624284000,60,poster1619AmericasEurope
poster1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,"George Thomas, Abstract 1619",1624399200,60,poster1619AmericasAsia
poster1619,Regional brain iron and gene expression shed light on neurodegeneration in Parkinsonâ€™s disease,"George Thomas, Abstract 1619",1624514400,120,poster1619EuropeAsia
poster1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets","Benjamin Tendler, Abstract 1141",1624456800,60,poster1141AmericasEurope
poster1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets","Benjamin Tendler, Abstract 1141",1624572000,60,poster1141AmericasAsia
poster1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets","Benjamin Tendler, Abstract 1141",1624341600,120,poster1141EuropeAsia
poster2141,The Latent Network Geometry of The Brain: Toward Geometrical Markers in Brain Network Science?,"Alberto Cacciola, Abstract 2141",1624370400,60,poster2141AmericasEurope
poster2141,The Latent Network Geometry of The Brain: Toward Geometrical Markers in Brain Network Science?,"Alberto Cacciola, Abstract 2141",1624485600,60,poster2141AmericasAsia
poster2141,The Latent Network Geometry of The Brain: Toward Geometrical Markers in Brain Network Science?,"Alberto Cacciola, Abstract 2141",1624514400,120,poster2141EuropeAsia
poster1602,A new superficial white matter connectivity atlas of the chimpanzee brain,"Maëlig Chauvel, Abstract 1602",1624456800,60,poster1602AmericasEurope
poster1602,A new superficial white matter connectivity atlas of the chimpanzee brain,"Maëlig Chauvel, Abstract 1602",1624572000,60,poster1602AmericasAsia
poster1602,A new superficial white matter connectivity atlas of the chimpanzee brain,"Maëlig Chauvel, Abstract 1602",1624341600,120,poster1602EuropeAsia
poster1238,A new tripartite landmark in human posterior cingulate cortex,"Ethan Willbrand, Abstract 1238",1624456800,60,poster1238AmericasEurope
poster1238,A new tripartite landmark in human posterior cingulate cortex,"Ethan Willbrand, Abstract 1238",1624572000,60,poster1238AmericasAsia
poster1238,A new tripartite landmark in human posterior cingulate cortex,"Ethan Willbrand, Abstract 1238",1624341600,120,poster1238EuropeAsia
poster2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,"Daniel Spencer, Abstract 2527",1624543200,60,poster2527AmericasEurope
poster2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,"Daniel Spencer, Abstract 2527",1624658400,60,poster2527AmericasAsia
poster2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,"Daniel Spencer, Abstract 2527",1624341600,120,poster2527EuropeAsia
poster2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,"Ross Markello, Abstract 2271",1624456800,60,poster2271AmericasEurope
poster2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,"Ross Markello, Abstract 2271",1624572000,60,poster2271AmericasAsia
poster2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,"Ross Markello, Abstract 2271",1624341600,120,poster2271EuropeAsia
poster1569,Accommodating site variation in neuroimaging data using hierarchical and Bayesian models,"Johanna Bayer, Abstract 1569",1624370400,60,poster1569AmericasEurope
poster1569,Accommodating site variation in neuroimaging data using hierarchical and Bayesian models,"Johanna Bayer, Abstract 1569",1624485600,60,poster1569AmericasAsia
poster1569,Accommodating site variation in neuroimaging data using hierarchical and Bayesian models,"Johanna Bayer, Abstract 1569",1624514400,120,poster1569EuropeAsia
poster1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,"Roy Haast, Abstract 1177",1624543200,60,poster1177AmericasEurope
poster1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,"Roy Haast, Abstract 1177",1624485600,60,poster1177AmericasAsia
poster1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,"Roy Haast, Abstract 1177",1624341600,120,poster1177EuropeAsia
poster1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,"Alicia Northall, Abstract 1390",1624543200,60,poster1390AmericasEurope
poster1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,"Alicia Northall, Abstract 1390",1624485600,60,poster1390AmericasAsia
poster1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,"Alicia Northall, Abstract 1390",1624341600,120,poster1390EuropeAsia
poster1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,"Azeez Adebimpe, Abstract 1814",1624284000,60,poster1814AmericasEurope
poster1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,"Azeez Adebimpe, Abstract 1814",1624399200,60,poster1814AmericasAsia
poster1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,"Azeez Adebimpe, Abstract 1814",1624514400,120,poster1814EuropeAsia
poster1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,"Clara Moreau, Abstract 1610",1624456800,60,poster1610AmericasEurope
poster1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,"Clara Moreau, Abstract 1610",1624658400,60,poster1610AmericasAsia
poster1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,"Clara Moreau, Abstract 1610",1624341600,120,poster1610EuropeAsia
poster1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,"Christopher Markiewicz, Abstract 1207",1624543200,60,poster1207AmericasEurope
poster1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,"Christopher Markiewicz, Abstract 1207",1624658400,60,poster1207AmericasAsia
poster1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,"Christopher Markiewicz, Abstract 1207",1624341600,120,poster1207EuropeAsia
poster1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,"Jingxuan Gong, Abstract 1495",1624629600,60,poster1495AmericasEurope
poster1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,"Jingxuan Gong, Abstract 1495",1624572000,60,poster1495AmericasAsia
poster1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,"Jingxuan Gong, Abstract 1495",1624341600,120,poster1495EuropeAsia
poster1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,"Bingyang Cai, Abstract 1846",1624629600,60,poster1846AmericasEurope
poster1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,"Bingyang Cai, Abstract 1846",1624572000,60,poster1846AmericasAsia
poster1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,"Bingyang Cai, Abstract 1846",1624341600,120,poster1846EuropeAsia
poster1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,"Farnaz Zamani Esfahlani, Abstract 1233",1624629600,60,poster1233AmericasEurope
poster1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,"Farnaz Zamani Esfahlani, Abstract 1233",1624312800,60,poster1233AmericasAsia
poster1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,"Farnaz Zamani Esfahlani, Abstract 1233",1624514400,120,poster1233EuropeAsia
poster2303,EEG responses to sound omissions are modulated by predictability,"Ruxandra Tivadar, Abstract 2303",1624629600,60,poster2303AmericasEurope
poster2303,EEG responses to sound omissions are modulated by predictability,"Ruxandra Tivadar, Abstract 2303",1624485600,60,poster2303AmericasAsia
poster2303,EEG responses to sound omissions are modulated by predictability,"Ruxandra Tivadar, Abstract 2303",1624341600,120,poster2303EuropeAsia
poster1330,Efficient mapping of cortical finger representations in the human brain with TMS,"Ole Numssen, Abstract 1330",1624284000,60,poster1330AmericasEurope
poster1330,Efficient mapping of cortical finger representations in the human brain with TMS,"Ole Numssen, Abstract 1330",1624658400,60,poster1330AmericasAsia
poster1330,Efficient mapping of cortical finger representations in the human brain with TMS,"Ole Numssen, Abstract 1330",1624514400,120,poster1330EuropeAsia
poster1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,"Gabriel Ramos Llorden, Abstract 1961",1624629600,60,poster1961AmericasEurope
poster1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,"Gabriel Ramos Llorden, Abstract 1961",1624399200,60,poster1961AmericasAsia
poster1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,"Gabriel Ramos Llorden, Abstract 1961",1624514400,120,poster1961EuropeAsia
poster1371,Functional Connectivity Individualization in Early Childhood,"Kirk Graff, Abstract 1371",1624543200,60,poster1371AmericasEurope
poster1371,Functional Connectivity Individualization in Early Childhood,"Kirk Graff, Abstract 1371",1624485600,60,poster1371AmericasAsia
poster1371,Functional Connectivity Individualization in Early Childhood,"Kirk Graff, Abstract 1371",1624341600,120,poster1371EuropeAsia
poster2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,"Emily Olafson, Abstract 2253",1624629600,60,poster2253AmericasEurope
poster2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,"Emily Olafson, Abstract 2253",1624312800,60,poster2253AmericasAsia
poster2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,"Emily Olafson, Abstract 2253",1624514400,120,poster2253EuropeAsia
poster2654,Heritability parcellation of cortical thickness in 10-year-old children,"Bader CHAARANI, Abstract 2654",1624629600,60,poster2654AmericasEurope
poster2654,Heritability parcellation of cortical thickness in 10-year-old children,"Bader CHAARANI, Abstract 2654",1624399200,60,poster2654AmericasAsia
poster2654,Heritability parcellation of cortical thickness in 10-year-old children,"Bader CHAARANI, Abstract 2654",1624514400,120,poster2654EuropeAsia
poster1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,"Zijin Gu, Abstract 1884",1624629600,60,poster1884AmericasEurope
poster1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,"Zijin Gu, Abstract 1884",1624485600,60,poster1884AmericasAsia
poster1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,"Zijin Gu, Abstract 1884",1624341600,120,poster1884EuropeAsia
poster1850,Imaging-transcriptomics model of intracortical development during youth,"Casey Paquola, Abstract 1850",1624543200,60,poster1850AmericasEurope
poster1850,Imaging-transcriptomics model of intracortical development during youth,"Casey Paquola, Abstract 1850",1624485600,60,poster1850AmericasAsia
poster1850,Imaging-transcriptomics model of intracortical development during youth,"Casey Paquola, Abstract 1850",1624341600,120,poster1850EuropeAsia
poster1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,"Ayan Mandal, Abstract 1100",1624284000,60,poster1100AmericasEurope
poster1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,"Ayan Mandal, Abstract 1100",1624399200,60,poster1100AmericasAsia
poster1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,"Ayan Mandal, Abstract 1100",1624514400,120,poster1100EuropeAsia
poster2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,"Steven Jillings, Abstract 2128",1624284000,60,poster2128AmericasEurope
poster2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,"Steven Jillings, Abstract 2128",1624399200,60,poster2128AmericasAsia
poster2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,"Steven Jillings, Abstract 2128",1624514400,120,poster2128EuropeAsia
poster2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,"Max Owens, Abstract 2251",1624370400,60,poster2251AmericasEurope
poster2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,"Max Owens, Abstract 2251",1624658400,60,poster2251AmericasAsia
poster2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,"Max Owens, Abstract 2251",1624514400,120,poster2251EuropeAsia
poster1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,"Erica Baller, Abstract 1642",1624543200,60,poster1642AmericasEurope
poster1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,"Erica Baller, Abstract 1642",1624485600,60,poster1642AmericasAsia
poster1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,"Erica Baller, Abstract 1642",1624341600,120,poster1642EuropeAsia
poster2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,"Andre Altmann, Abstract 2191",1624543200,60,poster2191AmericasEurope
poster2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,"Andre Altmann, Abstract 2191",1624485600,60,poster2191AmericasAsia
poster2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,"Andre Altmann, Abstract 2191",1624341600,120,poster2191EuropeAsia
poster1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,"Cheng Chen, Abstract 1862",1624543200,60,poster1862AmericasEurope
poster1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,"Cheng Chen, Abstract 1862",1624485600,60,poster1862AmericasAsia
poster1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,"Cheng Chen, Abstract 1862",1624341600,120,poster1862EuropeAsia
poster2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research","Bryan Caron, Abstract 2615",1624456800,60,poster2615AmericasEurope
poster2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research","Bryan Caron, Abstract 2615",1624572000,60,poster2615AmericasAsia
poster2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research","Bryan Caron, Abstract 2615",1624341600,120,poster2615EuropeAsia
poster2164,Population-based sex differences in stroke lesion connectivity,"Anna Bonkhoff, Abstract 2164",1624284000,60,poster2164AmericasEurope
poster2164,Population-based sex differences in stroke lesion connectivity,"Anna Bonkhoff, Abstract 2164",1624399200,60,poster2164AmericasAsia
poster2164,Population-based sex differences in stroke lesion connectivity,"Anna Bonkhoff, Abstract 2164",1624514400,120,poster2164EuropeAsia
poster1858,Prediction of human cognition: Are predictive features reliable and reproducible?,"Ye Tian, Abstract 1858",1624370400,60,poster1858AmericasEurope
poster1858,Prediction of human cognition: Are predictive features reliable and reproducible?,"Ye Tian, Abstract 1858",1624485600,60,poster1858AmericasAsia
poster1858,Prediction of human cognition: Are predictive features reliable and reproducible?,"Ye Tian, Abstract 1858",1624514400,120,poster1858EuropeAsia
poster1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,"Joseph Ziminski, Abstract 1940",1624629600,60,poster1940AmericasEurope
poster1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,"Joseph Ziminski, Abstract 1940",1624485600,60,poster1940AmericasAsia
poster1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,"Joseph Ziminski, Abstract 1940",1624341600,120,poster1940EuropeAsia
poster1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,"Shuai Lv, Abstract 1160",1624370400,60,poster1160AmericasEurope
poster1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,"Shuai Lv, Abstract 1160",1624658400,60,poster1160AmericasAsia
poster1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,"Shuai Lv, Abstract 1160",1624514400,120,poster1160EuropeAsia
poster2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,"Yu Veronica Sui, Abstract 2299",1624456800,60,poster2299AmericasEurope
poster2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,"Yu Veronica Sui, Abstract 2299",1624658400,60,poster2299AmericasAsia
poster2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,"Yu Veronica Sui, Abstract 2299",1624341600,120,poster2299EuropeAsia
poster1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,"Shile Qi, Abstract 1276",1624456800,60,poster1276AmericasEurope
poster1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,"Shile Qi, Abstract 1276",1624572000,60,poster1276AmericasAsia
poster1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,"Shile Qi, Abstract 1276",1624341600,120,poster1276EuropeAsia
poster2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,"Xiao Liu, Abstract 2443",1624629600,60,poster2443AmericasEurope
poster2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,"Xiao Liu, Abstract 2443",1624572000,60,poster2443AmericasAsia
poster2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,"Xiao Liu, Abstract 2443",1624341600,120,poster2443EuropeAsia
poster2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,"Sara Larivière, Abstract 2152",1624370400,60,poster2152AmericasEurope
poster2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,"Sara Larivière, Abstract 2152",1624312800,60,poster2152AmericasAsia
poster2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,"Sara Larivière, Abstract 2152",1624514400,120,poster2152EuropeAsia
poster1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,"Pei-Lin Lee, Abstract 1178",1624370400,60,poster1178AmericasEurope
poster1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,"Pei-Lin Lee, Abstract 1178",1624312800,60,poster1178AmericasAsia
poster1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,"Pei-Lin Lee, Abstract 1178",1624514400,120,poster1178EuropeAsia
poster2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R","Amanda Mejia, Abstract 2371",1624284000,60,poster2371AmericasEurope
poster2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R","Amanda Mejia, Abstract 2371",1624399200,60,poster2371AmericasAsia
poster2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R","Amanda Mejia, Abstract 2371",1624514400,120,poster2371EuropeAsia
poster2278,The Cuban Human Brain Mapping Project database,"Pedro Sosa, Abstract 2278",1624456800,60,poster2278AmericasEurope
poster2278,The Cuban Human Brain Mapping Project database,"Pedro Sosa, Abstract 2278",1624572000,60,poster2278AmericasAsia
poster2278,The Cuban Human Brain Mapping Project database,"Pedro Sosa, Abstract 2278",1624341600,120,poster2278EuropeAsia
poster2420,Traveling waves within beta bursts in the human motor cortex,"Catharina Zich, Abstract 2420",1624543200,60,poster2420AmericasEurope
poster2420,Traveling waves within beta bursts in the human motor cortex,"Catharina Zich, Abstract 2420",1624658400,60,poster2420AmericasAsia
poster2420,Traveling waves within beta bursts in the human motor cortex,"Catharina Zich, Abstract 2420",1624341600,120,poster2420EuropeAsia
poster2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study","Fidel Alfaro Almagro, Abstract 2256",1624456800,60,poster2256AmericasEurope
poster2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study","Fidel Alfaro Almagro, Abstract 2256",1624572000,60,poster2256AmericasAsia
poster2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study","Fidel Alfaro Almagro, Abstract 2256",1624341600,120,poster2256EuropeAsia
poster1341,A Bayesian Lesion Regression Model with a Structured Spike-and-Slab Prior,"Anna Menacher, Abstract 1341",1624370400,60,poster1341AmericasEurope
poster1341,A Bayesian Lesion Regression Model with a Structured Spike-and-Slab Prior,"Anna Menacher, Abstract 1341",1624485600,60,poster1341AmericasAsia
poster1341,A Bayesian Lesion Regression Model with a Structured Spike-and-Slab Prior,"Anna Menacher, Abstract 1341",1624514400,120,poster1341EuropeAsia
poster2226,A large scale meta-analytic view on the functional organization of the auditory cortex,"Peer Herholz, Abstract 2226",1624543200,60,poster2226AmericasEurope
poster2226,A large scale meta-analytic view on the functional organization of the auditory cortex,"Peer Herholz, Abstract 2226",1624658400,60,poster2226AmericasAsia
poster2226,A large scale meta-analytic view on the functional organization of the auditory cortex,"Peer Herholz, Abstract 2226",1624341600,120,poster2226EuropeAsia
poster1349,A preprocessed open diffusion derivatives dataset from the Healthy Brain Network,"Adam Richie-Halford, Abstract 1349",1624456800,60,poster1349AmericasEurope
poster1349,A preprocessed open diffusion derivatives dataset from the Healthy Brain Network,"Adam Richie-Halford, Abstract 1349",1624572000,60,poster1349AmericasAsia
poster1349,A preprocessed open diffusion derivatives dataset from the Healthy Brain Network,"Adam Richie-Halford, Abstract 1349",1624341600,120,poster1349EuropeAsia
poster1440,A Region-Specific Accelerated Brain Aging Pattern in Parkinson's Disease,"Chen-Yuan Kuo, Abstract 1440",1624284000,60,poster1440AmericasEurope
poster1440,A Region-Specific Accelerated Brain Aging Pattern in Parkinson's Disease,"Chen-Yuan Kuo, Abstract 1440",1624399200,60,poster1440AmericasAsia
poster1440,A Region-Specific Accelerated Brain Aging Pattern in Parkinson's Disease,"Chen-Yuan Kuo, Abstract 1440",1624514400,120,poster1440EuropeAsia
poster1376,Aging-related changes in intrinsic alignment of functional signals with anatomical networks,"Wan Lin Yue, Abstract 1376",1624543200,60,poster1376AmericasEurope
poster1376,Aging-related changes in intrinsic alignment of functional signals with anatomical networks,"Wan Lin Yue, Abstract 1376",1624485600,60,poster1376AmericasAsia
poster1376,Aging-related changes in intrinsic alignment of functional signals with anatomical networks,"Wan Lin Yue, Abstract 1376",1624341600,120,poster1376EuropeAsia
poster1713,Altered brainstem functional connectivity is linked to gastric peristalsis in functional dyspepsia,"Harrison Fisher, Abstract 1713",1624629600,60,poster1713AmericasEurope
poster1713,Altered brainstem functional connectivity is linked to gastric peristalsis in functional dyspepsia,"Harrison Fisher, Abstract 1713",1624485600,60,poster1713AmericasAsia
poster1713,Altered brainstem functional connectivity is linked to gastric peristalsis in functional dyspepsia,"Harrison Fisher, Abstract 1713",1624341600,120,poster1713EuropeAsia
poster1271,An expanding manifold characterizes adolescent reconfiguration of structural connectome organization,"Bo-yong Park, Abstract 1271",1624370400,60,poster1271AmericasEurope
poster1271,An expanding manifold characterizes adolescent reconfiguration of structural connectome organization,"Bo-yong Park, Abstract 1271",1624485600,60,poster1271AmericasAsia
poster1271,An expanding manifold characterizes adolescent reconfiguration of structural connectome organization,"Bo-yong Park, Abstract 1271",1624514400,120,poster1271EuropeAsia
poster1873,An fMRI study on flow motion perception from visuo-tactile integration,"Jeanne Caron-Guyon, Abstract 1873",1624629600,60,poster1873AmericasEurope
poster1873,An fMRI study on flow motion perception from visuo-tactile integration,"Jeanne Caron-Guyon, Abstract 1873",1624485600,60,poster1873AmericasAsia
poster1873,An fMRI study on flow motion perception from visuo-tactile integration,"Jeanne Caron-Guyon, Abstract 1873",1624341600,120,poster1873EuropeAsia
