Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
2303,EEG responses to sound omissions are modulated by predictability,"Perception, Attention and Motor Behavior",Perception: Auditory/ Vestibular ,Novel Imaging Acquisition Methods,EEG ,6117,Ruxandra,Tivadar,"Perception, Attention and Motor Behavior"
1330,Efficient mapping of cortical finger representations in the human brain with TMS,Brain Stimulation,TMS,Modeling and Analysis Methods,Methods Development,1849,Ole,Numssen,Brain Stimulation
1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,Novel Imaging Acquisition Methods,Diffusion MRI ,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,4636,Gabriel,Ramos Llorden,Novel Imaging Acquisition Methods
1371,Functional Connectivity Individualization in Early Childhood,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,2357,Kirk,Graff,Lifespan Development
2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Learning and Memory,Neural Plasticity and Recovery of Function,5873,Emily,Olafson,Modeling and Analysis - Connectivity
2654,Heritability parcellation of cortical thickness in 10-year-old children,Novel Imaging Acquisition Methods,Anatomical MRI ,Genetics,Genetics Other,7598,Bader,CHAARANI,Novel Imaging Acquisition Methods
1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,"Perception, Attention and Motor Behavior",Perception: Visual,Modeling and Analysis Methods,Classification and Predictive Modeling,2335,Zijin,Gu,"Perception, Attention and Motor Behavior"
1850,Imaging-transcriptomics model of intracortical development during youth,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Genetics,Transcriptomics,1842,Casey,Paquola,Lifespan Development
1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1330,Ayan,Mandal,Disorders of the Nervous System - Neurodegenerative/Late Life
2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,Learning and Memory,Neural Plasticity and Recovery of Function,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4599,Steven,Jillings,Learning and Memory
2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,Higher Cognitive Functions,Decision Making,Modeling and Analysis Methods,Classification and Predictive Modeling,5584,Max,Owens,Higher Cognitive Functions
1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,3385,Erica,Baller,Lifespan Development
2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,Genetics,Genetic Modeling and Analysis Methods,Genetics,Genetic Association Studies,1072,Andre,Altmann,Genetics
1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,Lifespan Development,Aging ,Modeling and Analysis Methods,Classification and Predictive Modeling,4153,Cheng,Chen,Lifespan Development
2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research",Neuroinformatics and Data Sharing,Databasing and Data Sharing,Neuroinformatics and Data Sharing,Workflows,7203,Bryan,Caron,Neuroinformatics and Data Sharing
2164,Population-based sex differences in stroke lesion connectivity,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1885,Anna,Bonkhoff,Disorders of the Nervous System - Neurodegenerative/Late Life
1858,Prediction of human cognition: Are predictive features reliable and reproducible?,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4235,Ye,Tian,Modeling and Analysis - Multivariate approaches
1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,"Perception, Attention and Motor Behavior",Perception: Visual,"Perception, Attention and Motor Behavior",Attention: Visual,4563,Joseph,Ziminski,"Perception, Attention and Motor Behavior"
1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,Brain Stimulation,Non-Invasive Stimulation Methods Other,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",1548,Shuai,Lv,Higher Cognitive Functions
2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Neuroanatomy,Subcortical Structures,5803,Yu Veronica,Sui,Disorders of the Nervous System - Psychiatric
1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,"Social Neuroscience, Emotion and Motivation",Reward and Punishment,1951,Shile,Qi,"Social Neuroscience, Emotion and Motivation"
2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,"Physiology, Metabolism and Neurotransmission",Neurophysiology of Imaging Signals,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,6587,Xiao,Liu,"Physiology, Metabolism and Neurotransmission"
2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Genetics,Transcriptomics,5405,Sara,LariviÃ¨re,Disorders of the Nervous System - Neurodevelopmental/Early Life
1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Novel Imaging Acquisition Methods,Anatomical MRI ,1635,Pei-Lin,Lee,"Sleep, Consciousness, Pain"
2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R",Modeling and Analysis Methods,Methods Development,Neuroinformatics and Data Sharing,Informatics Other,4257,Amanda,Mejia,Software Demonstrations
2278,The Cuban Human Brain Mapping Project database,Neuroinformatics and Data Sharing,Databasing and Data Sharing,Higher Cognitive Functions,"Space, Time and Number Coding ",5370,Pedro,Sosa,Neuroinformatics and Data Sharing
2420,Traveling waves within beta bursts in the human motor cortex,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Motor Behavior,Motor Planning and Execution,6684,Catharina,Zich,Modeling and Analysis - Activation
2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study",Neuroinformatics and Data Sharing,Informatics Other,Neuroinformatics and Data Sharing,Databasing and Data Sharing,5875,Fidel,Alfaro Almagro,Neuroinformatics and Data Sharing
1341,A Bayesian Lesion Regression Model with a Structured Spike-and-Slab Prior,Modeling and Analysis Methods,Bayesian Modeling,Modeling and Analysis Methods,Methods Development,1938,Anna,Menacher,Modeling and Analysis - Multivariate approaches
2226,A large scale meta-analytic view on the functional organization of the auditory cortex,Modeling and Analysis Methods,Other Methods,"Perception, Attention and Motor Behavior",Perception: Auditory/ Vestibular ,5385,Peer,Herholz,Modeling and Analysis - Activation
1349,A preprocessed open diffusion derivatives dataset from the Healthy Brain Network,Novel Imaging Acquisition Methods,Diffusion MRI ,Neuroinformatics and Data Sharing,Databasing and Data Sharing,1033,Adam,Richie-Halford,Neuroinformatics and Data Sharing
1440,A Region-Specific Accelerated Brain Aging Pattern in Parkinson's Disease,Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2624,Chen-Yuan,Kuo,Disorders of the Nervous System - Neurodegenerative/Late Life
1376,Aging-related changes in intrinsic alignment of functional signals with anatomical networks,Lifespan Development,Aging ,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2374,Wan Lin,Yue,Lifespan Development
1713,Altered brainstem functional connectivity is linked to gastric peristalsis in functional dyspepsia,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,3726,Harrison,Fisher,"Perception, Attention and Motor Behavior"
1271,An expanding manifold characterizes adolescent reconfiguration of structural connectome organization,Lifespan Development,"Early life, Adolescence, Aging",Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,1127,Bo-yong,Park,Modeling and Analysis - Multivariate approaches
1873,An fMRI study on flow motion perception from visuo-tactile integration,"Perception, Attention and Motor Behavior",Perception: Multisensory and Crossmodal ,Modeling and Analysis Methods,Modeling and Analysis - Activation,4334,Jeanne,Caron-Guyon,"Perception, Attention and Motor Behavior"
1607,Anterior-posterior shift of hippocampus structural covariance across development:a multicohort study,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Novel Imaging Acquisition Methods,Anatomical MRI ,3243,Anna,Plachti,Modeling and Analysis - Connectivity
1289,Association of R2 Relaxation Rate with LATE-NC: An Ex-vivo MRI and Pathology Study,Lifespan Development,Aging ,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2112,Mahir,Tazwar,Disorders of the Nervous System - Neurodegenerative/Late Life
1153,Atrophy Progression in Parkinson's Disease is Associated with Connectivity and Synaptic Activity,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,Anatomical MRI ,1554,Christina,Tremblay,Disorders of the Nervous System - Neurodegenerative/Late Life
1736,BCI-Based Cognitive Training Improves Brain Functional Network Segregation in Healthy Elderly,Learning and Memory,Neural Plasticity and Recovery of Function,Lifespan Development,Aging ,3380,Xing,Qian,Learning and Memory
2376,"Behavioral, Anatomical and Genetic Convergence of Affect and Cognition in Superior Frontal Cortex","Social Neuroscience, Emotion and Motivation",Self Processes,Genetics,Genetics Other,2728,H. Lina,Schaare,"Social Neuroscience, Emotion and Motivation"
2429,"Brain age prediction using Deep Learning on 16,092 Healthy MRIs across Lifespan",Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Modeling and Analysis Methods,Methods Development,6721,Sheng,He,Modeling and Analysis - Multivariate approaches
1313,CNN visualization methods reveal diagnostically relevant brain regions to detect Alzheimer's disease,Modeling and Analysis Methods,Classification and Predictive Modeling,Neuroinformatics and Data Sharing,Informatics Other,2183,Martin,Dyrba,Neuroinformatics and Data Sharing
1927,Connectome Reconfigurations during Jazz Music Improvisation,Higher Cognitive Functions,Music,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4486,Victor,Vergara,Higher Cognitive Functions
1185,Cortical Networks of Creative Ability Trace Gene Expression Profiles of Synaptic Plasticity,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Genetics,Transcriptomics,1530,William,Orwig,Genetics
2234,Cortical surface area is influenced by genetic variation in enhancers gained during human evolution,Genetics,Genetic Association Studies,Genetics,Genetics Other,5782,Barbara,Molz,Genetics
2307,Decoding behavioral responses from fMRI without learning behavioral responses from fMRI,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,1205,Joram,Soch,"Social Neuroscience, Emotion and Motivation"
2435,Decoupling between global brain signal and cerebrospinal fluid flow is linked to Alzheimer's disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Activation,6288,Feng,Han,Disorders of the Nervous System - Neurodegenerative/Late Life
2504,Designs of resting ASL analyses in pharmacologic studies,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,"Physiology, Metabolism and Neurotransmission",Pharmacology and Neurotransmission,1409,Fanny,Munsch,"Physiology, Metabolism and Neurotransmission"
2604,Development of thalamocortical functional connectivity gradient in the human infant brain,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4946,Shinwon,Park,Lifespan Development
1931,Development of the visual pathways mediates development of electrophysiology in visual cortex,"Perception, Attention and Motor Behavior",Perception: Visual,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",4547,Sendy,Caffarra,"Perception, Attention and Motor Behavior"
1357,DISABILITY CLASSIFICATION USING EMPIRICAL VS PREDICTED STRUCTURAL AND FUNCTIONAL CONNECTIVITY IN MS,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1371,Ceren,Tozlu,Modeling and Analysis - Connectivity
1051,Divergence of cortical asymmetry and atrophy in temporal lobe epilepsy: A worldwide ENIGMA study,Neuroanatomy,Cortical Anatomy and Brain Mapping,Modeling and Analysis Methods,Other Methods,1127,Bo-yong,Park,Neuroanatomy
1259,Dyanmic funciontal connectivity reveals self-referential network predominating in older age,Lifespan Development,Aging ,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,1994,Lu,Zhang,Lifespan Development
1560,Effect of repeated blocks of transcranial magnetic stimulation (TMS) on fronto-striatal connectivity,Brain Stimulation,TMS,Novel Imaging Acquisition Methods,PET ,3050,Usman Jawed,Shaikh,Brain Stimulation
1588,"ENIGMA HALFpipe: Fast, interactive, and reproducible analysis for functional MRI data",Neuroinformatics and Data Sharing,Workflows,Neuroinformatics and Data Sharing,Databasing and Data Sharing,3162,Lea,Waller,Software Demonstrations
2252,Evolution of Functional Connectome Harmonics during Infancy,Lifespan Development,"Early life, Adolescence, Aging",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5840,H Patrick,Taylor,Lifespan Development
1865,"Evolutionarily conserved fMRI network dynamics in the human, macaque and mouse brain",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,4087,Daniel,Gutierrez-Barragan,Modeling and Analysis - Connectivity
2022,Examining the Neurobiological Validity of a Novel VR Assessment Tool for Early Detection of AD,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,4828,Hannah,Fingerhut,Disorders of the Nervous System - Neurodegenerative/Late Life
2495,Expanding the Nilearn vision: Machine learning and statistics for fMRI in Python,Neuroinformatics and Data Sharing,Workflows,Neuroinformatics and Data Sharing,Informatics Other,1207,Bertrand,Thirion,Software Demonstrations
2471,Flaws in data binning for population receptive field analyses,"Perception, Attention and Motor Behavior",Perception: Visual,Neuroanatomy,Cortical Anatomy and Brain Mapping,2053,Susanne,Stoll,"Perception, Attention and Motor Behavior"
1420,Focal lesions induce large-scale percolation of sleep-like intracerebral activity in awake humans,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2234,Simone,Russo,"Sleep, Consciousness, Pain"
2559,Freezing of gait is worsened by heightened sympathetic arousal that increases network integration,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,7264,Natasha,Taylor,Disorders of the Nervous System - Neurodegenerative/Late Life
1117,From brain to body: Learning respiration and heart rate fluctuations from fMRI data,"Physiology, Metabolism and Neurotransmission",Neurophysiology of Imaging Signals,Modeling and Analysis Methods,Motion Correction and Preprocessing,1446,Roza,Bayrak,"Physiology, Metabolism and Neurotransmission"
2368,Functional and  Structural Brain Features of Intact versus Impaired Episodic Memory in Epilepsy,Modeling and Analysis Methods,Modeling and Analysis - Activation,Modeling and Analysis Methods,Classification and Predictive Modeling,6448,Kapil,Chaudhary,Modeling and Analysis - Activation
1894,Functional brain mapping of natural stimuli with high-density diffuse optical tomography,Novel Imaging Acquisition Methods,NIRS,Lifespan Development,Normal Brain Development: Fetus to Adolescence,4422,Morgan,Fogarty,Novel Imaging Acquisition Methods
2528,Functional reconfigurations of brain network hubs across arousal levels,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",7140,Kangjoo,Lee,"Sleep, Consciousness, Pain"
2092,Genetic and environmental variants linked with higher segregation of brain networks and cognition,Genetics,Genetic Association Studies,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5076,Julia,Neitzel,Genetics
2511,Ground-truth resting-state fMRI provides data-driven estimation and correction of scanner distortion,Modeling and Analysis Methods,Methods Development,Novel Imaging Acquisition Methods,BOLD fMRI ,7073,Rajat,Kumar,Novel Imaging Acquisition Methods
2498,"Hippunfold: BIDS App for hippocampal unfolding, subfield segmentation, and surface-based analysis",Modeling and Analysis Methods,Methods Development,Neuroanatomy,Anatomy and Functional Systems,4259,Jordan,DeKraker,Software Demonstrations
1410,Human Brain Surface-Volume Atlases of Newborns to Centenarians,Neuroinformatics and Data Sharing,Brain Atlases,Lifespan Development,"Early life, Adolescence, Aging",2483,Sahar,Ahmad,Neuroinformatics and Data Sharing
2576,Hybrid Deep Learning Network Integrating Temporal Coherence and Dynamics for Schizophrenia Diagnosis,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Methods Development,1954,Min,Zhao,Software Demonstrations
1312,Identifying Therapeutic Targets for Neuropathic Pain Based on the Network Effects of Brain Lesions,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Brain Stimulation,Non-invasive Magnetic/TMS,2164,Na Young,Kim,"Sleep, Consciousness, Pain"
2410,Improving functional MRI using advanced multiband multi-echo EPI,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Other Methods,4694,Yang,Wang,Novel Imaging Acquisition Methods
1892,Increased sex hormones are associated with increased segregation of functional connectivity networks,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Social Neuroscience, Emotion and Motivation",Sexual Behavior,4414,Elaine,Wu,"Social Neuroscience, Emotion and Motivation"
1745,Integration of multi-modality MRI for early prediction of cognitive deficits using deep learning,Modeling and Analysis Methods,Classification and Predictive Modeling,Lifespan Development,"Early life, Adolescence, Aging",3829,Lili,He,Modeling and Analysis - Connectivity
2632,Layer-dependent amblyopic deficits in feedforward and lateral processing in human early visual corte,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,7510,Yue,Wang,Novel Imaging Acquisition Methods
2398,Local neurodegeneration and global connectivity adaptation across the FTD-AD spectrum,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3776,Jesse,Brown,Disorders of the Nervous System - Neurodegenerative/Late Life
1355,Longitudinal Stability of Quantitative MRI Measurements,Novel Imaging Acquisition Methods,Anatomical MRI ,Neuroanatomy,Neuroanatomy Other,1076,Masaya,Misaki,Novel Imaging Acquisition Methods
2173,Longitudinal Structural Dysfunction Associated to Autistic Behaviors in MECP2 Duplicated Rats,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Genetics,Neurogenetic Syndromes,5431,Ming,Xu,Disorders of the Nervous System - Neurodevelopmental/Early Life
1796,Macroscale cortical organization in Type 2 Diabetes Mellitus and Metabolic Syndrome: a 7T fMRI study,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",4067,Mohamed,Yousif,Modeling and Analysis - Connectivity
1319,MELD Project: Quantitative analysis of associations between MRI features and FCD histopathologies,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Classification and Predictive Modeling,2216,Mathilde,Ripart,Disorders of the Nervous System - Neurodevelopmental/Early Life
2194,Multimodal MRI template construction from UK Biobank: Oxford-MM-0,Neuroinformatics and Data Sharing,Brain Atlases,Modeling and Analysis Methods,Image Registration and Computational Anatomy,2720,Christoph,Arthofer,Neuroinformatics and Data Sharing
1754,Multi-Timepoint Pattern Analysis: Decoding context-dependent brain connectivity dynamics,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,3856,Saampras,Ganesan,Modeling and Analysis - Connectivity
2480,Multivariate Analysis of Cortical Morphometry across Human Brain Development,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,4510,Hadis,Kalantar Hormozi,Lifespan Development
1834,Multivariate Brain Morphological Signatures Predict People Reporting Chronic Pains For Over 2 Years,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Modeling and Analysis Methods,Classification and Predictive Modeling,4157,Ravi,Bhatt,"Sleep, Consciousness, Pain"
2088,MVPA classification of natural sounds in early â€œvisualâ€ cortex of congenitally blind individuals,"Perception, Attention and Motor Behavior",Perception: Multisensory and Crossmodal ,"Perception, Attention and Motor Behavior",Perception: Visual,3235,Petra,Vetter,"Perception, Attention and Motor Behavior"
1542,Network controllability in transmodal cortex predicts positive psychosis spectrum symptoms,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Classification and Predictive Modeling,2830,Linden,Parkes,Disorders of the Nervous System - Psychiatric
1719,Network Gradients in the Anterior Cingulate Cortex Indicates Integration Across Functional Domains,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,3741,Wei,Tang,"Social Neuroscience, Emotion and Motivation"
2192,Network Target Engagement in the Prefrontal Brain explained by Concurrent TMS/fMRI,Brain Stimulation,TMS,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5446,Martin,Tik,Brain Stimulation
2202,Neural Circuit Modeling Captures Individual Variation in Functional Dynamics across Human Cortex,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4915,Rachel,Cooper,Modeling and Analysis - Connectivity
